,RMSE,MAE,R2,NSE,KGE
Benchmark_MICE_RandomForest,1091.9657096693759,210.25364253094324,0.6623726054230538,0.6623726054230538,0.7278893598975988
CustomMissForest_3Yr_Expanding,913.3681973017491,171.93799505552576,0.7637828379472917,0.7637828379472917,0.6901695661069487
Benchmark_Vanilla_MissForest,953.0557105398834,185.0313728435197,0.7465801725657999,0.7465801725657999,0.6887727356344793
CustomMissForest_3Yr_SeedOnly,929.3302986700787,179.8997746860272,0.7554543910336745,0.7554543910336745,0.6862377491865432
CustomMissForest_3Yr_Chaining,934.096608801645,174.67912831056745,0.752939528008772,0.752939528008772,0.6846763929847408
Benchmark_Linear_Interp,1490.4669418001986,343.6900715280954,0.3709801193922737,0.3709801193922737,0.5722410201914024
Benchmark_KNN_k5,1080.513809657791,205.31986235595392,0.669417149882021,0.669417149882021,0.566113389458671
Baseline_Historical_Mean,1635.9578616686645,396.7922234633257,0.24218377009310432,0.24218377009310432,0.15236398899135117
Benchmark_Kalman_SARIMAX,1591.940569398085,332.3227021065487,0.28241495836422537,0.28241495836422537,0.11579375228265576
