,RMSE,MAE,R2,NSE,KGE
MissForest_column_mean,588.0202496846856,133.28407197661966,0.6857312075652767,0.6857312075652767,0.738081883701599
MissForest_historical_mean,580.3546960718024,127.8414294739637,0.6938715458573028,0.6938715458573028,0.7314838428653607
MissForest_seasonal_mean,581.8504304525499,123.62182513840536,0.6922915572491339,0.6922915572491339,0.727602989461481
Baseline_Column_Mean,977.7228965880236,281.74641016893554,0.1311430809194396,0.1311430809194396,0.059769895200196266
Baseline_Historical_Mean,1072.495073527225,284.83143634382697,-0.0454597190384598,-0.0454597190384598,0.17331089449731518
