GapScenario,Method,RMSE,MAE,R2,NSE,KGE
100-day_gap,Baseline_Historical_Mean,1122.2712711791992,303.77493785213954,0.4724084486461583,0.4724084486461583,0.6325231023710882
100-day_gap,Benchmark_KNN_k5,794.965664695761,169.48059528688526,0.7352726062652495,0.7352726062652495,0.7809694893395706
100-day_gap,Benchmark_Kalman_SARIMAX,1591.2148749079806,391.5424676656497,-0.06061997240575101,-0.06061997240575101,-0.6342587595484062
100-day_gap,Benchmark_Linear_Interp,2669.576578928746,606.4801990224689,-1.9852926242490767,-1.9852926242490767,-0.519198107744119
100-day_gap,Benchmark_MICE_RandomForest,907.3018258335427,188.94538473360655,0.6551694691525771,0.6551694691525771,0.8077564860973315
100-day_gap,Benchmark_Vanilla_MissForest,692.2887717638856,157.90939714139347,0.7992402173964042,0.7992402173964042,0.8444321932351697
100-day_gap,CustomMissForest_3Yr_Chaining,650.6565006431388,149.77191511204018,0.8226604152071056,0.8226604152071056,0.8610977829029801
100-day_gap,CustomMissForest_3Yr_Expanding,652.7838338311932,150.70863083998347,0.8214988895365422,0.8214988895365422,0.8512959556485178
100-day_gap,CustomMissForest_3Yr_SeedOnly,650.8542380308978,150.40727722520367,0.8225526102603602,0.8225526102603602,0.8608115799381213
3-day_gap,Baseline_Historical_Mean,910.1004258250965,246.98435667901643,0.27288230368340494,0.27288230368340494,0.4665289770210769
3-day_gap,Benchmark_KNN_k5,506.5309229921499,105.32537909454061,0.7747638960540558,0.7747638960540558,0.7940479853025182
3-day_gap,Benchmark_Kalman_SARIMAX,664.7967575872142,125.57421721655413,0.6120248903650451,0.6120248903650451,0.6598952602017454
3-day_gap,Benchmark_Linear_Interp,435.7655649960128,90.64307171996631,0.8333014215402237,0.8333014215402237,0.8903476594201493
3-day_gap,Benchmark_MICE_RandomForest,514.7267664525921,105.76382885042165,0.7674161341727401,0.7674161341727401,0.8316164558545628
3-day_gap,Benchmark_Vanilla_MissForest,511.1186213365852,100.42026492932467,0.7730500529481751,0.7730500529481751,0.8304362791126885
3-day_gap,CustomMissForest_3Yr_Chaining,464.80124196895247,93.89256567274626,0.8103465973324381,0.8103465973324381,0.8639113749265934
3-day_gap,CustomMissForest_3Yr_Expanding,457.57572120982957,93.76100164843915,0.8161972414291946,0.8161972414291946,0.8591043419204565
3-day_gap,CustomMissForest_3Yr_SeedOnly,499.01281494257915,97.60274823893772,0.7814003427144772,0.7814003427144772,0.8342225926264185
30-day_gap,Baseline_Historical_Mean,1707.1439085819084,407.28384958155914,0.24230250343017168,0.24230250343017168,0.13513263646936025
30-day_gap,Benchmark_KNN_k5,1119.809666573913,208.55959900142653,0.6739801741190174,0.6739801741190174,0.5499946345892837
30-day_gap,Benchmark_Kalman_SARIMAX,1663.1494406874438,340.98761112621,0.28085223511069723,0.28085223511069723,0.10844065634318989
30-day_gap,Benchmark_Linear_Interp,1428.9379644516598,309.30734770072894,0.46913714726460565,0.46913714726460565,0.5323743572517552
30-day_gap,Benchmark_MICE_RandomForest,1096.0690920291822,208.7734354255825,0.687657235824465,0.687657235824465,0.7235096729612231
30-day_gap,Benchmark_Vanilla_MissForest,987.0068806591813,188.31445867682632,0.7508721051950702,0.7508721051950702,0.6822372847803706
30-day_gap,CustomMissForest_3Yr_Chaining,980.655681328088,178.82338633144784,0.7499719785028756,0.7499719785028756,0.672879873260863
30-day_gap,CustomMissForest_3Yr_Expanding,957.6137734429243,175.56711568944195,0.7615834744440294,0.7615834744440294,0.6806526096382177
30-day_gap,CustomMissForest_3Yr_SeedOnly,964.8148026898007,183.5668888034887,0.7579843208954545,0.7579843208954545,0.6811265814323808
7-day_gap,Baseline_Historical_Mean,756.2680326162462,243.77463274702703,0.17837009553905137,0.17837009553905137,0.5507728200684796
7-day_gap,Benchmark_KNN_k5,448.8181901693825,101.31783317829456,0.71062190616071,0.71062190616071,0.7774473566281979
7-day_gap,Benchmark_Kalman_SARIMAX,2373.8523421997866,289.2150272693027,-7.095285213506838,-7.095285213506838,-1.04170169052693
7-day_gap,Benchmark_Linear_Interp,530.2993319640467,126.24183558104488,0.596013445316178,0.596013445316178,0.7931183849453721
7-day_gap,Benchmark_MICE_RandomForest,571.3861790391728,110.39075771871539,0.5309877200676896,0.5309877200676896,0.7551110869820032
7-day_gap,Benchmark_Vanilla_MissForest,454.78568319305026,100.80322901123596,0.7068606817182275,0.7068606817182275,0.8324959098704203
7-day_gap,CustomMissForest_3Yr_Chaining,382.8220232624063,90.8139597002701,0.7894677752685377,0.7894677752685377,0.8810994678375025
7-day_gap,CustomMissForest_3Yr_Expanding,367.98686029195926,89.352100783433,0.8054687513277814,0.8054687513277814,0.8857555356095214
7-day_gap,CustomMissForest_3Yr_SeedOnly,441.0516587467869,99.14365161982302,0.7205502851535681,0.7205502851535681,0.8404229531066707
